"N","ExpectedLength","Method","M","m"
25,26,"Analog to Clopper-Pearson",25,5
26,28.8846153846154,"Analog to Clopper-Pearson",25,5
27,31.7692307692308,"Analog to Clopper-Pearson",25,5
28,34.6324786324786,"Analog to Clopper-Pearson",25,5
29,37.4647804302977,"Analog to Clopper-Pearson",25,5
30,40.262157382847,"Analog to Clopper-Pearson",25,5
31,43.0237490849282,"Analog to Clopper-Pearson",25,5
32,45.7503927678427,"Analog to Clopper-Pearson",25,5
33,48.4437551695616,"Analog to Clopper-Pearson",25,5
34,51.1058487140899,"Analog to Clopper-Pearson",25,5
35,53.7387926420675,"Analog to Clopper-Pearson",25,5
36,56.3447050406826,"Analog to Clopper-Pearson",25,5
37,58.9256541710248,"Analog to Clopper-Pearson",25,5
38,61.4836333688851,"Analog to Clopper-Pearson",25,5
39,64.0205448871812,"Analog to Clopper-Pearson",25,5
40,66.5381879311131,"Analog to Clopper-Pearson",25,5
41,69.0382499185515,"Analog to Clopper-Pearson",25,5
42,71.5223010248309,"Analog to Clopper-Pearson",25,5
43,73.9917920446014,"Analog to Clopper-Pearson",25,5
44,76.4480553047934,"Analog to Clopper-Pearson",25,5
45,78.8923081116808,"Analog to Clopper-Pearson",25,5
46,81.3256580989273,"Analog to Clopper-Pearson",25,5
47,83.7491098466988,"Analog to Clopper-Pearson",25,5
48,86.163572219556,"Analog to Clopper-Pearson",25,5
49,88.569865981592,"Analog to Clopper-Pearson",25,5
50,90.9687313625769,"Analog to Clopper-Pearson",25,5
51,93.3608353523399,"Analog to Clopper-Pearson",25,5
52,95.7467785850203,"Analog to Clopper-Pearson",25,5
53,98.127101738782,"Analog to Clopper-Pearson",25,5
54,100.502291422041,"Analog to Clopper-Pearson",25,5
55,102.872785547483,"Analog to Clopper-Pearson",25,5
56,105.238978213774,"Analog to Clopper-Pearson",25,5
57,107.601224125109,"Analog to Clopper-Pearson",25,5
58,109.959842583427,"Analog to Clopper-Pearson",25,5
59,112.31512108919,"Analog to Clopper-Pearson",25,5
60,114.667318585722,"Analog to Clopper-Pearson",25,5
61,117.016668380087,"Analog to Clopper-Pearson",25,5
62,119.363380771102,"Analog to Clopper-Pearson",25,5
63,121.70764541254,"Analog to Clopper-Pearson",25,5
64,124.049633437223,"Analog to Clopper-Pearson",25,5
65,126.389499365397,"Analog to Clopper-Pearson",25,5
66,128.727382818749,"Analog to Clopper-Pearson",25,5
67,131.063410059483,"Analog to Clopper-Pearson",25,5
68,133.397695372097,"Analog to Clopper-Pearson",25,5
69,135.730342303872,"Analog to Clopper-Pearson",25,5
70,138.061444778523,"Analog to Clopper-Pearson",25,5
71,140.391088096055,"Analog to Clopper-Pearson",25,5
72,142.719349830539,"Analog to Clopper-Pearson",25,5
73,145.046300636301,"Analog to Clopper-Pearson",25,5
74,147.372004971911,"Analog to Clopper-Pearson",25,5
75,149.696521750336,"Analog to Clopper-Pearson",25,5
76,152.019904922714,"Analog to Clopper-Pearson",25,5
77,154.342204002388,"Analog to Clopper-Pearson",25,5
78,156.663464535094,"Analog to Clopper-Pearson",25,5
79,158.983728520607,"Analog to Clopper-Pearson",25,5
80,161.303034790505,"Analog to Clopper-Pearson",25,5
81,163.621419346308,"Analog to Clopper-Pearson",25,5
82,165.938915661747,"Analog to Clopper-Pearson",25,5
83,168.2555549526,"Analog to Clopper-Pearson",25,5
84,170.571366417163,"Analog to Clopper-Pearson",25,5
85,172.886377450182,"Analog to Clopper-Pearson",25,5
86,175.200613832789,"Analog to Clopper-Pearson",25,5
87,177.514099900786,"Analog to Clopper-Pearson",25,5
88,179.82685869342,"Analog to Clopper-Pearson",25,5
89,182.138912084609,"Analog to Clopper-Pearson",25,5
90,184.450280898429,"Analog to Clopper-Pearson",25,5
91,186.760985010521,"Analog to Clopper-Pearson",25,5
92,189.07104343693,"Analog to Clopper-Pearson",25,5
93,191.380474411791,"Analog to Clopper-Pearson",25,5
94,193.689295455108,"Analog to Clopper-Pearson",25,5
95,195.997523431821,"Analog to Clopper-Pearson",25,5
96,198.305174603195,"Analog to Clopper-Pearson",25,5
97,200.612264671498,"Analog to Clopper-Pearson",25,5
98,202.918808818835,"Analog to Clopper-Pearson",25,5
99,205.2248217409,"Analog to Clopper-Pearson",25,5
100,207.53031767636,"Analog to Clopper-Pearson",25,5
101,209.835310432458,"Analog to Clopper-Pearson",25,5
102,212.139813407412,"Analog to Clopper-Pearson",25,5
103,214.443839610059,"Analog to Clopper-Pearson",25,5
104,216.747401677182,"Analog to Clopper-Pearson",25,5
105,219.050511888866,"Analog to Clopper-Pearson",25,5
106,221.353182182201,"Analog to Clopper-Pearson",25,5
107,223.655424163588,"Analog to Clopper-Pearson",25,5
108,225.95724911984,"Analog to Clopper-Pearson",25,5
109,228.258668028237,"Analog to Clopper-Pearson",25,5
110,230.559691565616,"Analog to Clopper-Pearson",25,5
111,232.860330116505,"Analog to Clopper-Pearson",25,5
112,235.160593780229,"Analog to Clopper-Pearson",25,5
113,237.460492376811,"Analog to Clopper-Pearson",25,5
114,239.76003545139,"Analog to Clopper-Pearson",25,5
115,242.059232276711,"Analog to Clopper-Pearson",25,5
116,244.358091853153,"Analog to Clopper-Pearson",25,5
