"N","coverage_prob","min_x","max_x","group"
21,1,0,0,1
22,1,0,1,2
23,0.976284584980237,0,1,2
24,0.995059288537549,0,2,3
25,0.983794466403162,0,2,3
26,0.995348130130739,0,3,4
27,0.988929428059863,0,3,4
28,0.979301374953549,0,3,4
29,0.992083445456759,0,4,5
30,0.986118479221928,0,4,5
31,0.978152363024443,0,4,5
32,0.99010153732067,0,5,6
33,0.984790793189013,0,5,6
34,0.97809657789701,0,5,6
35,0.988871076795568,0,6,7
36,0.984157233527449,0,6,7
37,0.97842418090406,0,6,7
38,0.988079848480294,0,7,8
39,0.983870967741935,0,7,8
40,0.978877704684156,0,7,8
41,0.987555021583346,0,8,9
42,0.983767303889255,0,8,9
43,0.979356205107765,0,8,9
44,0.987198158497081,0,9,10
45,0.983762636059857,0,9,10
46,0.979819253784086,0,9,10
47,0.975361973286208,0,9,10
48,0.983812234230103,0,10,11
49,0.980251560050862,0,10,11
50,0.976263604970113,0,10,11
51,0.9838911910693,0,11,12
52,0.980648694954261,0,11,12
53,0.977045241724529,0,11,12
54,0.983985225722531,0,12,13
55,0.981010946866245,0,12,13
56,0.977727652024889,0,12,13
57,0.984085989538175,0,13,14
58,0.981340560446981,0,13,14
59,0.978327568351137,0,13,14
60,0.975045415628064,0,13,14
61,0.98164046723555,0,14,15
62,0.978858435540085,0,14,15
63,0.975840887933892,0,14,15
64,0.981913702491355,0,15,16
65,0.979331087948786,0,15,16
66,0.976540676833825,0,15,16
67,0.982163146990835,0,16,17
68,0.979754304384351,0,16,17
69,0.977160772583168,0,16,17
70,0.958094749763487,1,17,18
71,0.95686519056178,1,17,18
72,0.955413371660946,1,17,18
73,0.953742575155021,1,17,18
74,0.959962702101544,1,18,19
75,0.958513625798645,1,18,19
76,0.956872029301127,1,18,19
77,0.962611000240698,1,19,20
78,0.961175060437766,1,19,20
79,0.959568571200551,1,19,20
80,0.964890447056186,1,20,21
81,0.963474828048754,1,20,21
82,0.961907086231932,1,20,21
83,0.966864615499456,1,21,22
84,0.965474188752496,1,21,22
85,0.963947233874881,1,21,22
86,0.962284861886321,1,21,22
87,0.967222220776163,1,22,23
88,0.965736963556447,1,22,23
89,0.964129306750657,1,22,23
90,0.968758570387941,1,23,24
91,0.967315129081817,1,23,24
92,0.965760510217762,1,23,24
93,0.970115512654687,1,24,25
94,0.968713454131645,1,24,25
95,0.967209957547094,1,24,25
96,0.97131951172077,1,25,26
97,0.969958024990488,1,25,26
98,0.968503605652691,1,25,26
99,0.966956677942181,1,25,26
100,0.971070435009884,1,26,27
101,0.969662994382319,1,26,27
102,0.968170402667945,1,26,27
103,0.972068669856582,1,27,28
104,0.970706108210993,1,27,28
105,0.951736458059231,2,27,29
106,0.955900005880971,2,28,30
107,0.955025015038068,2,28,30
108,0.954061943556767,2,28,30
109,0.953011669925789,2,28,30
110,0.95712401108334,2,29,31
111,0.956164964569306,2,29,31
112,0.955125554653592,2,29,31
113,0.959024705846523,2,30,32
114,0.958072180662987,2,30,32
115,0.957045367578866,2,30,32
116,0.960750514940466,2,31,33
117,0.959806476738637,2,31,33
118,0.958793569551088,2,31,33
119,0.96232159007628,2,32,34
120,0.961387573610757,2,32,34
121,0.960389539658544,2,32,34
122,0.95932793331222,2,32,34
123,0.96283252827468,2,33,35
124,0.961850059445267,2,33,35
125,0.960808302427771,2,33,35
126,0.964156145757042,2,34,36
127,0.963189711986307,2,34,36
128,0.962167857183601,2,34,36
129,0.96537131973047,2,35,37
130,0.96442121229741,2,35,37
131,0.963419185462393,2,35,37
132,0.962365524024636,2,35,37
133,0.965555682090702,2,36,38
134,0.964573309408409,2,36,38
135,0.963542435815992,2,36,38
136,0.966602879207115,2,37,39
137,0.965639909542507,2,37,39
138,0.964631295912825,2,37,39
139,0.953870938454485,3,38,40
140,0.953190531542156,3,38,40
141,0.952460441236123,3,38,40
142,0.955539003828282,3,39,41
143,0.954857992752319,3,39,41
144,0.954130287855185,3,39,41
145,0.953356232818499,3,39,41
146,0.95640612911639,3,40,42
147,0.955681889465382,3,40,42
148,0.954913987217578,3,40,42
149,0.957845676686613,3,41,43
150,0.95712580687969,3,41,43
151,0.956364738460544,3,41,43
152,0.959186225409486,3,42,44
153,0.958471479990473,3,42,44
154,0.957717799820677,3,42,44
155,0.956925423678175,3,42,44
156,0.959727364408626,3,43,45
157,0.958981518851643,3,43,45
158,0.958199031535223,3,43,45
159,0.960901049409136,3,44,46
160,0.960163392596689,3,44,46
161,0.959390990480309,3,44,46
162,0.961999360005317,3,45,47
163,0.961270167349416,3,45,47
164,0.960507983473657,3,45,47
165,0.963028445509831,3,46,48
166,0.962307925255257,3,46,48
167,0.961556039098768,3,46,48
168,0.96077293611924,3,46,48
169,0.963282159672805,3,47,49
170,0.962540605496078,3,47,49
171,0.961769324843854,3,47,49
172,0.952838021430438,4,48,50
173,0.952279988914724,4,48,50
174,0.951690151056473,4,48,50
175,0.954208923696262,4,49,51
176,0.953651040290897,4,49,51
177,0.953062891612013,4,49,51
178,0.952444664390514,4,49,51
179,0.954943100769473,4,50,52
180,0.954357194838406,4,50,52
181,0.953742623979435,4,50,52
182,0.956161914380246,4,51,53
183,0.955578731695597,4,51,53
184,0.954968202146031,4,51,53
185,0.95731272791725,4,52,54
186,0.956732684424724,4,52,54
187,0.956126524734597,4,52,54
188,0.958400340468125,4,53,55
189,0.95782379505546,4,53,55
190,0.957222284050282,4,53,55
191,0.956595932885299,4,53,55
192,0.958856408495648,4,54,56
193,0.95825978115068,4,54,56
194,0.957639378113974,4,54,56
195,0.959834510872597,4,55,57
196,0.959242963489352,4,55,57
197,0.958628638673361,4,55,57
198,0.960761763705149,4,56,58
199,0.960175458477072,4,56,58
200,0.959567313109667,4,56,58
201,0.958937423065328,4,56,58
202,0.961060603451306,4,57,59
203,0.960458713432262,4,57,59
204,0.959835950403103,4,57,59
205,0.952223097138625,5,58,60
206,0.951749774240014,5,58,60
207,0.951254372378842,5,58,60
208,0.953383260604569,5,59,61
209,0.952910323795048,5,59,61
210,0.952416202297707,5,59,61
211,0.954487087866974,5,60,62
212,0.95401490810764,5,60,62
213,0.953522385846543,5,60,62
214,0.953009623357836,5,60,62
215,0.955066942773253,5,61,63
216,0.954576303065317,5,61,63
217,0.954066208186948,5,61,63
218,0.956069594655982,5,62,64
219,0.955581088751606,5,62,64
220,0.955073868760922,5,62,64
221,0.957025802775145,5,63,65
222,0.956539652994781,5,63,65
