"N","a","b","cardinality","coverage_prob","x_set"
10,0,0,1,1,"0-0"
11,0,1,2,1,"0-1"
12,0,2,3,1,"0-2"
13,0,3,4,1,"0-3"
14,0,4,5,1,"0-4"
15,0,4,5,0.958041958041958,"0-4"
16,0,5,6,0.973776223776224,"0-5"
17,0,6,7,0.983031674208145,"0-6"
18,1,7,7,0.959276018099547,"1-7"
19,1,8,8,0.970588235294118,"1-8"
20,1,8,8,0.955108359133127,"1-8"
21,1,9,9,0.96671826625387,"1-9"
22,1,10,10,0.974950745848579,"1-10"
23,1,10,10,0.955830345452098,"1-10"
24,1,11,11,0.965742361017634,"1-11"
25,2,12,11,0.95537757437071,"2-12"
26,2,13,12,0.964186842905378,"2-13"
27,2,13,12,0.950702234455095,"2-13"
28,2,14,13,0.959815546772068,"2-14"
29,2,15,14,0.967024529693196,"2-15"
30,2,15,14,0.952449649301224,"2-15"
31,2,16,15,0.960373050560215,"2-16"
32,3,17,15,0.954455991607174,"3-17"
33,3,18,16,0.961405835543767,"3-18"
34,3,18,16,0.950128431624211,"3-18"
35,3,19,17,0.957323729292584,"3-19"
36,3,20,18,0.963342117107739,"3-20"
37,3,20,18,0.951618349208809,"3-20"
38,3,21,19,0.958047121136829,"3-21"
39,4,22,19,0.95415615719221,"4-22"
40,4,23,20,0.959853102892152,"4-23"
41,4,23,20,0.950277147947615,"4-23"
42,4,24,21,0.956165599901913,"4-24"
43,5,25,21,0.951103026539106,"5-25"
44,5,26,22,0.956525600672838,"5-26"
45,5,27,23,0.961258702101166,"5-27"
46,5,27,23,0.954046711726504,"5-27"
47,5,28,24,0.958861940905095,"5-28"
48,5,28,24,0.950575748719235,"5-28"
49,5,29,25,0.955541673673348,"5-29"
50,6,30,25,0.951868817528332,"6-30"
51,6,31,26,0.956452753774608,"6-31"
52,7,32,26,0.950588378113115,"7-32"
53,7,33,27,0.955018446385065,"7-33"
54,7,34,28,0.958989861980783,"7-34"
55,7,34,28,0.954111087822628,"7-34"
56,7,35,29,0.958055515693601,"7-35"
57,7,35,29,0.952365418914283,"7-35"
58,7,36,30,0.95633916217297,"7-36"
59,8,37,30,0.951875920287933,"8-37"
60,8,38,31,0.955692103872874,"8-38"
61,8,38,31,0.950690607934845,"8-38"
62,8,39,32,0.954499804664734,"8-39"
63,8,40,33,0.957970700022883,"8-40"
64,8,40,33,0.952709058610121,"8-40"
65,8,41,34,0.956217886702469,"8-41"
66,8,41,34,0.950434374124743,"8-41"
67,8,42,35,0.954005039506512,"8-42"
68,9,43,35,0.951359182805935,"9-43"
69,9,44,36,0.954730613374044,"9-44"
70,10,45,36,0.950948801707124,"10-45"
71,10,46,37,0.954207867850872,"10-46"
72,10,47,38,0.957216718938945,"10-47"
73,10,47,38,0.953241486445572,"10-47"
74,10,48,39,0.956248522763883,"10-48"
75,10,48,39,0.95184421566404,"10-48"
76,10,49,40,0.954870342836454,"10-49"
77,10,49,40,0.950086127053379,"10-49"
78,10,50,41,0.953147014220467,"10-50"
79,11,51,41,0.950695222345108,"11-51"
80,11,52,42,0.953618692945674,"11-52"
81,12,53,42,0.95034023489528,"12-53"
82,12,54,43,0.953179771553067,"12-54"
83,12,55,44,0.955831514309563,"12-55"
84,12,55,44,0.952366541687384,"12-55"
85,12,56,45,0.955014599515397,"12-56"
86,12,56,45,0.9512285224201,"12-56"
87,12,57,46,0.953886636799072,"12-57"
88,13,58,46,0.951128105392033,"13-58"
89,13,59,47,0.953706515222317,"13-59"
90,13,59,47,0.950226677924065,"13-59"
91,13,60,48,0.952805394134791,"13-60"
92,13,61,49,0.955230079098792,"13-61"
93,13,61,49,0.951643173357635,"13-61"
94,13,62,50,0.954081274009508,"13-62"
95,13,62,50,0.950254369157699,"13-62"
96,13,63,51,0.952713727901899,"13-63"
97,14,64,51,0.950768443309623,"14-64"
98,14,65,52,0.953137347096707,"14-65"
99,15,66,52,0.950653063687882,"15-66"
100,15,67,53,0.952959979985161,"15-67"
101,15,68,54,0.955142138444163,"15-68"
102,15,68,54,0.952185214338468,"15-68"
103,15,69,55,0.954368550988952,"15-69"
104,15,69,55,0.95120160360822,"15-69"
105,15,70,56,0.953393222268365,"15-70"
106,15,70,56,0.950033756961001,"15-70"
107,15,71,57,0.952239456456859,"15-71"
108,16,72,57,0.950411875078269,"16-72"
109,16,73,58,0.952547791362157,"16-73"
110,17,74,58,0.95028940839213,"17-74"
111,17,75,59,0.952375756571999,"17-75"
112,17,76,60,0.954360748658205,"17-76"
113,17,76,60,0.951696943648835,"17-76"
114,17,77,61,0.953681874771022,"17-77"
115,17,77,61,0.950847331018081,"17-77"
116,17,78,62,0.952837469723279,"17-78"
117,18,79,62,0.950846904012733,"18-79"
118,18,80,63,0.952789999174297,"18-80"
119,18,80,63,0.950127559641656,"18-80"
120,18,81,64,0.952071907190818,"18-81"
121,19,82,64,0.950002479749787,"19-82"
122,19,83,65,0.951906296267953,"19-83"
123,19,84,66,0.953726158899509,"19-84"
124,19,84,66,0.951302689809526,"19-84"
125,19,85,67,0.95312182896092,"19-85"
126,19,85,67,0.95055682821558,"19-85"
127,19,86,68,0.952379257030031,"19-86"
128,20,87,68,0.950534370014435,"20-87"
129,20,88,69,0.952318130967966,"20-88"
130,21,89,69,0.950175901255344,"21-89"
131,21,90,70,0.951932136711124,"21-90"
132,21,91,71,0.953616521983769,"21-91"
133,21,91,71,0.951520917994666,"21-91"
134,21,92,72,0.95320062456121,"21-92"
135,21,92,72,0.950977766500914,"21-92"
136,21,93,73,0.952656401516726,"21-93"
137,21,93,73,0.950314316320223,"21-93"
138,21,94,74,0.951995005879027,"21-94"
139,22,95,74,0.950276696817012,"22-95"
140,22,96,75,0.951925046354692,"22-96"
141,22,97,76,0.953510116677394,"22-97"
142,22,97,76,0.951351071092846,"22-97"
143,22,98,77,0.952936816539292,"22-98"
144,22,98,77,0.950672069024524,"22-98"
145,22,99,78,0.952261037530837,"22-99"
146,23,100,78,0.95070541364652,"23-100"
147,23,101,79,0.952263516589705,"23-101"
148,23,101,79,0.950108820787045,"23-101"
149,23,102,80,0.951668162944295,"23-102"
150,24,103,80,0.950060675805961,"24-103"
151,24,104,81,0.951592573788218,"24-104"
152,24,105,82,0.953070034189894,"24-105"
153,24,105,82,0.951071603556154,"24-105"
154,24,106,83,0.952549258547339,"24-106"
155,24,106,83,0.950459762043069,"24-106"
156,24,107,84,0.951939665511563,"24-107"
157,25,108,84,0.950473858763709,"25-108"
158,25,109,85,0.951927461758862,"25-109"
159,26,110,85,0.950265368091359,"26-110"
