"N","a","b","cardinality","coverage_prob","x_set"
10,0,0,1,1,"0-0"
11,0,1,2,1,"0-1"
12,0,2,3,1,"0-2"
13,0,3,4,1,"0-3"
14,0,4,5,1,"0-4"
15,0,4,5,0.958041958041958,"0-4"
16,0,5,6,0.973776223776224,"0-5"
17,1,7,7,0.959276018099548,"1-7"
18,1,7,7,0.959276018099547,"1-7"
19,1,8,8,0.970588235294118,"1-8"
20,1,8,8,0.955108359133127,"1-8"
21,1,9,9,0.96671826625387,"1-9"
22,2,11,10,0.953841823810864,"2-11"
23,2,11,10,0.953841823810864,"2-11"
24,2,12,11,0.963386727688787,"2-12"
25,2,12,11,0.95537757437071,"2-12"
26,2,13,12,0.964186842905378,"2-13"
27,3,15,13,0.953096179183136,"3-15"
28,3,15,13,0.953096179183136,"3-15"
29,3,16,14,0.960849295631904,"3-16"
30,3,16,14,0.955968868712497,"3-16"
31,4,20,17,0.95131342517327,"4-20"
32,4,20,17,0.956828812640826,"4-20"
33,4,20,17,0.959798636661818,"4-20"
34,4,20,17,0.959798636661818,"4-20"
35,4,20,17,0.956518638943555,"4-20"
36,5,23,19,0.951395787357313,"5-23"
37,5,23,19,0.953877628319819,"5-23"
38,5,23,19,0.953877628319819,"5-23"
39,5,23,19,0.951218943628811,"5-23"
40,6,29,24,0.950192308588893,"6-29"
41,6,29,24,0.955118632976746,"6-29"
42,6,29,24,0.959044859294047,"6-29"
43,6,29,24,0.961823686374963,"6-29"
44,6,29,24,0.963290472470399,"6-29"
45,7,31,25,0.950705114809363,"7-31"
46,7,31,25,0.953466751773154,"7-31"
47,7,31,25,0.954901545841428,"7-31"
48,7,31,25,0.954901545841428,"7-31"
49,7,31,25,0.953385247208507,"7-31"
50,8,35,28,0.951987880406085,"8-35"
51,8,35,28,0.954199429917181,"8-35"
52,8,35,28,0.955343247382209,"8-35"
53,8,35,28,0.955343247382209,"8-35"
54,9,39,31,0.950366207661165,"9-39"
55,9,39,31,0.952990454985258,"9-39"
56,9,39,31,0.954800898835895,"9-39"
57,9,39,31,0.95573395197205,"9-39"
58,9,39,31,0.95573395197205,"9-39"
59,10,42,33,0.950287499646853,"10-42"
60,10,42,33,0.951920363508545,"10-42"
61,10,42,33,0.952757571641212,"10-42"
62,10,42,33,0.952757571641212,"10-42"
63,11,47,37,0.950179672545845,"11-47"
64,11,47,37,0.952588929569339,"11-47"
65,11,47,37,0.954451658662022,"11-47"
66,11,47,37,0.955728763001789,"11-47"
67,11,47,37,0.956383527067046,"11-47"
68,12,50,39,0.95039443589332,"12-50"
69,12,50,39,0.952107904433287,"12-50"
70,12,50,39,0.953278024807935,"12-50"
71,12,50,39,0.953875752895047,"12-50"
72,13,55,43,0.950068788735537,"13-55"
73,13,55,43,0.95226596940201,"13-55"
74,13,55,43,0.954072054820807,"13-55"
75,13,55,43,0.95546178383347,"13-55"
76,13,55,43,0.956410470164542,"13-55"
77,14,58,45,0.950421684471969,"14-58"
78,14,58,45,0.952105947897241,"14-58"
79,14,58,45,0.953397940277766,"14-58"
80,14,58,45,0.954277311451852,"14-58"
81,15,64,50,0.950342562897663,"15-64"
82,15,64,50,0.95249619186607,"15-64"
83,15,64,50,0.954390407009221,"15-64"
84,15,64,50,0.956009427296715,"15-64"
85,15,64,50,0.957336656114608,"15-64"
86,16,66,51,0.950416709763105,"16-66"
87,16,66,51,0.952031006416907,"16-66"
88,16,66,51,0.953349810104558,"16-66"
89,16,66,51,0.954358587389925,"16-66"
90,17,72,56,0.950242372761874,"17-72"
91,17,72,56,0.952194663337357,"17-72"
92,17,72,56,0.953942828067612,"17-72"
93,17,72,56,0.955475872206804,"17-72"
94,17,72,56,0.956782131499789,"17-72"
95,18,74,57,0.950398664472448,"18-74"
96,18,74,57,0.951929999759702,"18-74"
97,18,74,57,0.953231216697149,"18-74"
98,18,74,57,0.954291697886824,"18-74"
99,19,80,62,0.950171129534076,"19-80"
100,19,80,62,0.951955522995368,"19-80"
101,19,80,62,0.953575137472038,"19-80"
102,19,80,62,0.955022032551971,"19-80"
103,19,80,62,0.956287738843414,"19-80"
104,20,82,63,0.950375826250852,"20-82"
105,20,82,63,0.951822863565053,"20-82"
106,20,82,63,0.953085862181025,"20-82"
107,20,82,63,0.954156891125239,"20-82"
108,21,88,68,0.950118897661869,"21-88"
109,21,88,68,0.951761396559992,"21-88"
110,21,88,68,0.95326810323827,"21-88"
111,21,88,68,0.954633110169592,"21-88"
112,21,88,68,0.955850095860405,"21-88"
113,22,90,69,0.950351908570856,"22-90"
114,22,90,69,0.951718184948288,"22-90"
115,22,90,69,0.952934047665566,"22-90"
116,22,90,69,0.953993449464936,"22-90"
117,23,96,74,0.950079633228343,"23-96"
118,23,96,74,0.951600772360508,"23-96"
119,23,96,74,0.953008084692613,"23-96"
120,23,96,74,0.954297064174282,"23-96"
121,23,96,74,0.955462880248273,"23-96"
122,24,98,75,0.950328582985153,"24-98"
123,24,98,75,0.951619505638856,"24-98"
124,24,98,75,0.952785265773649,"24-98"
125,24,98,75,0.953821166046514,"24-98"
126,25,104,80,0.950049494797724,"25-104"
127,25,104,80,0.951465732389364,"25-104"
128,25,104,80,0.95278518296775,"25-104"
129,25,104,80,0.954004335875451,"25-104"
130,25,104,80,0.955119424429587,"25-104"
131,26,106,81,0.950306566548971,"26-106"
132,26,106,81,0.951528049596264,"26-106"
133,26,106,81,0.952643795307388,"26-106"
134,26,106,81,0.953650093716667,"26-106"
135,27,112,86,0.950025950050978,"27-112"
136,27,112,86,0.951350657705673,"27-112"
137,27,112,86,0.95259206141856,"27-112"
138,27,112,86,0.953747375775551,"27-112"
139,27,112,86,0.954813611659365,"27-112"
140,28,113,86,0.950013910197904,"28-113"
141,28,113,86,0.951116681256021,"28-113"
142,28,113,86,0.952122583109111,"28-113"
143,28,113,86,0.953028525439678,"28-113"
144,29,120,92,0.950007277344368,"29-120"
145,29,120,92,0.951251453973311,"29-120"
146,29,120,92,0.952423177694819,"29-120"
147,29,120,92,0.953520203303965,"29-120"
148,29,120,92,0.954540122043184,"29-120"
149,30,121,92,0.950025812782385,"30-121"
150,30,121,92,0.951078955454539,"30-121"
151,30,121,92,0.952048614979709,"30-121"
152,30,121,92,0.952932272170376,"30-121"
153,31,129,99,0.950093257104853,"31-129"
154,31,129,99,0.951290969254617,"31-129"
155,31,129,99,0.952428855396486,"31-129"
156,31,129,99,0.95350527445703,"31-129"
157,31,129,99,0.954518427129639,"31-129"
158,32,129,98,0.950033709075555,"32-129"
159,32,129,98,0.951040387886107,"32-129"
