"N","a","b","cardinality","coverage_prob","x_set"
10,0,0,1,1,"0-0"
11,0,1,2,1,"0-1"
12,0,2,3,1,"0-2"
13,0,3,4,1,"0-3"
14,0,4,5,1,"0-4"
15,0,4,5,0.958041958041958,"0-4"
16,0,5,6,0.973776223776224,"0-5"
17,0,6,7,0.983031674208145,"0-6"
18,1,7,7,0.959276018099547,"1-7"
19,1,8,8,0.970588235294118,"1-8"
20,1,8,8,0.955108359133127,"1-8"
21,1,9,9,0.96671826625387,"1-9"
22,1,10,10,0.974950745848579,"1-10"
23,1,10,10,0.955830345452098,"1-10"
24,1,11,11,0.965742361017634,"1-11"
25,2,12,11,0.95537757437071,"2-12"
26,2,13,12,0.964186842905378,"2-13"
27,2,13,12,0.950702234455095,"2-13"
28,2,14,13,0.959815546772068,"2-14"
29,2,15,14,0.967024529693196,"2-15"
30,3,16,14,0.955968868712497,"3-16"
31,3,17,15,0.963000881693149,"3-17"
32,3,17,15,0.954455991607174,"3-17"
33,3,18,16,0.961405835543767,"3-18"
34,3,18,16,0.950128431624211,"3-18"
35,3,19,17,0.957323729292584,"3-19"
36,3,20,18,0.963342117107739,"3-20"
37,4,21,18,0.956463967849167,"4-21"
38,4,22,19,0.962106890458654,"4-22"
39,4,22,19,0.95415615719221,"4-22"
40,4,23,20,0.959853102892152,"4-23"
41,5,24,20,0.952168041819178,"5-24"
42,5,25,21,0.957658876936986,"5-25"
43,5,25,21,0.951103026539106,"5-25"
44,5,26,22,0.956525600672838,"5-26"
45,5,27,23,0.961258702101166,"5-27"
46,5,27,23,0.954046711726504,"5-27"
47,5,28,24,0.958861940905095,"5-28"
48,6,29,24,0.953431269169438,"6-29"
49,6,30,25,0.958011837747965,"6-30"
50,6,30,25,0.951868817528332,"6-30"
51,6,31,26,0.956452753774608,"6-31"
52,7,32,26,0.950588378113115,"7-32"
53,7,33,27,0.955018446385065,"7-33"
54,7,34,28,0.958989861980783,"7-34"
55,7,34,28,0.954111087822628,"7-34"
56,7,35,29,0.958055515693601,"7-35"
57,7,35,29,0.952365418914283,"7-35"
58,7,36,30,0.95633916217297,"7-36"
59,8,37,30,0.951875920287933,"8-37"
60,8,38,31,0.955692103872874,"8-38"
61,8,38,31,0.950690607934845,"8-38"
62,8,39,32,0.954499804664734,"8-39"
63,8,40,33,0.957970700022883,"8-40"
64,9,41,33,0.953460375997411,"9-41"
65,9,42,34,0.956841770896979,"9-42"
66,9,42,34,0.952695346080644,"9-42"
67,9,43,35,0.956055832566553,"9-43"
68,10,44,35,0.951363934581242,"10-44"
69,10,45,36,0.954661149453625,"10-45"
70,10,45,36,0.950948801707124,"10-45"
71,10,46,37,0.954207867850872,"10-46"
72,10,47,38,0.957216718938945,"10-47"
73,10,47,38,0.953241486445572,"10-47"
74,10,48,39,0.956248522763883,"10-48"
75,11,49,39,0.952437416243955,"11-49"
76,11,50,40,0.955373519371636,"11-50"
77,11,50,40,0.951773175329628,"11-50"
78,11,51,41,0.954693101672908,"11-51"
79,12,52,41,0.950749251465232,"12-52"
80,12,53,42,0.953615494910307,"12-53"
81,12,53,42,0.95034023489528,"12-53"
82,12,54,43,0.953179771553067,"12-54"
83,12,55,44,0.955831514309563,"12-55"
84,12,55,44,0.952366541687384,"12-55"
85,12,56,45,0.955014599515397,"12-56"
86,13,57,45,0.951716204617254,"13-57"
87,13,58,46,0.954307347405899,"13-58"
88,13,58,46,0.951128105392033,"13-58"
89,13,59,47,0.953706515222317,"13-59"
90,14,60,47,0.950306678015217,"14-60"
91,14,61,48,0.952840051644469,"14-61"
92,14,62,49,0.955223560322356,"14-62"
93,14,62,49,0.952426845033365,"14-62"
94,14,63,50,0.954794552629148,"14-63"
95,14,63,50,0.951724376831909,"14-63"
96,14,64,51,0.954087930731108,"14-64"
97,15,65,51,0.951181216563363,"15-65"
98,15,66,52,0.953498355007155,"15-66"
99,15,66,52,0.950653063687882,"15-66"
100,15,67,53,0.952959979985161,"15-67"
101,15,68,54,0.955142138444163,"15-68"
102,16,69,54,0.952242157485783,"16-69"
103,16,70,55,0.95439170380108,"16-70"
104,16,70,55,0.951852255517897,"16-70"
105,16,71,56,0.953989513567569,"16-71"
106,16,71,56,0.951233693027831,"16-71"
107,16,72,57,0.953366859738019,"16-72"
108,17,73,57,0.950768970720056,"17-73"
109,17,74,58,0.952863678556853,"17-74"
110,17,74,58,0.95028940839213,"17-74"
111,17,75,59,0.952375756571999,"17-75"
112,17,76,60,0.954360748658205,"17-76"
113,18,77,60,0.9517671424997,"18-77"
114,18,78,61,0.953723888883941,"18-78"
115,18,78,61,0.951399656750104,"18-78"
116,18,79,62,0.953346585159044,"18-79"
117,18,79,62,0.950846904012733,"18-79"
118,18,80,63,0.952789999174297,"18-80"
119,19,81,63,0.950441781021088,"19-81"
120,19,82,64,0.952352547279273,"19-82"
121,19,82,64,0.950002479749787,"19-82"
122,19,83,65,0.951906296267953,"19-83"
123,19,84,66,0.953726158899509,"19-84"
124,20,85,66,0.951380678975933,"20-85"
125,20,86,67,0.953175973794698,"20-86"
126,20,86,67,0.951034093674792,"20-86"
127,20,87,68,0.952821370666445,"20-87"
128,20,87,68,0.950534370014435,"20-87"
129,20,88,69,0.952318130967966,"20-88"
130,21,89,69,0.950175901255344,"21-89"
131,21,90,70,0.951932136711124,"21-90"
132,21,91,71,0.953616521983769,"21-91"
133,21,91,71,0.951520917994666,"21-91"
134,21,92,72,0.95320062456121,"21-92"
135,22,93,72,0.951060129854427,"22-93"
136,22,94,73,0.95271834286016,"22-94"
137,22,94,73,0.950732758610722,"22-94"
138,22,95,74,0.952384304467022,"22-95"
139,22,95,74,0.950276696817012,"22-95"
140,22,96,75,0.951925046354692,"22-96"
141,22,97,76,0.953510116677394,"22-97"
142,23,98,76,0.951580291396021,"23-98"
143,23,99,77,0.953143710674963,"23-99"
144,23,99,77,0.951198954600938,"23-99"
145,23,100,78,0.952758300223071,"23-100"
146,24,101,78,0.950789964623238,"24-101"
147,24,102,79,0.952330388033797,"24-102"
148,24,102,79,0.950480149435481,"24-102"
149,24,103,80,0.952014944121036,"24-103"
150,24,103,80,0.950060675805961,"24-103"
151,24,104,81,0.951592573788218,"24-104"
152,24,105,82,0.953070034189894,"24-105"
153,25,106,82,0.951281519974895,"25-106"
154,25,107,83,0.952740009791416,"25-107"
155,25,107,83,0.950925983800781,"25-107"
156,25,108,84,0.952380899024076,"25-108"
157,26,109,84,0.950559174576806,"26-109"
158,26,110,85,0.951997327554872,"26-110"
159,26,110,85,0.950265368091359,"26-110"
