"N","M","m","MSE_HG_N","MSE_NHG_N","Diff_MSE_N","MSE_HG_M","MSE_NHG_M","Diff_MSE_M","M_over_N","m_over_M"
100,25,5,3050.47470964768,1619.9825,1430.49220964768,63.4089356442976,47.5093117507703,15.8996238935273,0.25,0.2
100,25,10,495.156297615017,909.482500000001,-414.326202384984,20.7658835990966,29.0264988589354,-8.26061525983882,0.25,0.4
100,25,15,134.326113857332,686.428888888889,-552.102775031557,7.20151488152269,24.3312866828692,-17.1297718013465,0.25,0.6
100,50,5,1354.98833107684,3263.44,-1908.45166892316,150.705478120439,273.188039806465,-122.482561686025,0.5,0.1
100,50,10,315.323652980219,2792.5275,-2477.20384701978,61.7134860691601,271.58725092957,-209.873764860409,0.5,0.2
100,50,15,138.0363022462,2665.66444444444,-2527.62814219824,30.7779414342266,273.270748575553,-242.492807141326,0.5,0.3
100,50,25,36.1833748620374,2504.1124,-2467.92902513796,8.72650754022143,271.034394221105,-262.307886680883,0.5,0.5
100,75,5,395.18266388913,6043.96,-5648.77733611087,150.289781277121,1016.78658762221,-866.496806345086,0.75,0.0666666666666667
100,75,10,126.647083505178,5765.250625,-5638.60354149482,62.1667034099628,1019.48449450115,-957.317791091186,0.75,0.133333333333333
100,75,15,67.4107886383591,5702.7175,-5635.30671136164,35.198165767946,1023.73555133573,-988.537385567781,0.75,0.2
100,75,25,25.0972234268975,5676.7831,-5651.6858765731,13.8509599265816,1029.79296176909,-1015.94200184251,0.75,0.333333333333333
100,75,40,2.48291138529011,5607.455078125,-5604.97216673971,1.4129603518013,1027.44968377071,-1026.03672341891,0.75,0.533333333333333
500,100,5,115142.642634367,46764.2399999998,68378.402634367,1329.01620297172,980.500378529333,348.515824442385,0.2,0.05
500,100,10,29398.2567250887,27061.86,2336.39672508874,621.444383852338,545.338453176982,76.105930675356,0.2,0.1
500,100,25,5575.36450925038,14934.7248,-9359.36029074963,189.165784941343,338.207224146185,-149.041439204842,0.2,0.25
500,100,40,2380.97843323192,12079.29,-9698.31156676808,88.7022454682819,297.511239805299,-208.808994337017,0.2,0.4
500,100,50,1503.64783208637,11312.0488,-9808.40096791363,56.5275292863662,287.889764620074,-231.362235333708,0.2,0.5
500,250,10,11857.8842756849,73759.375,-61901.4907243151,1986.75126784171,6929.14125549576,-4942.38998765405,0.5,0.04
500,250,20,4279.91714301637,66985,-62705.0828569836,931.851408599044,6862.51540793178,-5930.66399933273,0.5,0.08
500,250,30,2448.95113413067,65874.6666666667,-63425.715532536,568.018824472153,6928.81177709101,-6360.79295261885,0.5,0.12
500,250,40,1668.63415493759,64722.5390625,-63053.9049075624,392.854874286335,6918.55701484952,-6525.70214056318,0.5,0.16
500,250,50,1255.9851275012,64527.105,-63271.1198724988,301.020328204801,6947.67996254788,-6646.65963434308,0.5,0.2
500,400,10,3093.08517900408,164999.36,-161906.274820996,1679.32372338601,31432.248443455,-29752.9247200689,0.8,0.025
500,400,20,1371.39572461955,161887.76,-160516.36427538,811.220170504556,31470.4747379126,-30659.254567408,0.8,0.05
500,400,50,431.29387970109,160926.464,-160495.170120299,270.690974371641,31578.8429634637,-31308.1519890921,0.8,0.125
500,400,60,343.502975188786,160137.4,-159793.897024811,216.086619167821,31518.1147413443,-31302.0281221764,0.8,0.15
500,400,75,254.467992344451,160496.634311111,-160242.166318767,161.327095066165,31580.9278739449,-31419.6007788787,0.8,0.1875
1000,250,5,446721.648926977,207044.5,239677.148926977,7867.79016845568,5396.03636521811,2471.75380323756,0.25,0.02
1000,250,10,107775.659407853,131032,-23256.3405921469,3690.44584411839,3619.74789662976,70.697947488622,0.25,0.04
1000,250,25,25295.1590838625,86536.79,-61241.6309161375,1335.0471611009,2812.65335210324,-1477.60619100234,0.25,0.1
1000,250,40,13328.9811016395,75817.46875,-62488.4876483605,759.735522843047,2651.66660204369,-1891.93107920064,0.25,0.16
1000,250,50,9909.09573493894,72850.265,-62941.1692650611,572.563345317399,2616.72146896373,-2044.15812364633,0.25,0.2
1000,500,10,46594.6045574936,296005.5,-249410.895442506,8156.66928791691,27673.8563944368,-19517.1871065199,0.5,0.02
1000,500,20,18199.7544599415,274729.3125,-256529.558040059,3903.14597926027,27877.4697176043,-23974.323738344,0.5,0.04
1000,500,30,11471.3934319122,264253.555555556,-252782.162123643,2613.23221765308,27673.3561015133,-25060.1238838603,0.5,0.06
1000,500,40,7961.08241168082,260389.890625,-252428.808213319,1844.55767218528,27696.1694651304,-25851.6117929451,0.5,0.08
1000,500,50,6091.10195300613,258206.57,-252115.468046994,1439.28884650322,27724.6377167334,-26285.3488702302,0.5,0.1
1000,750,10,16453.5838315193,585292.5625,-568838.978668481,7765.6236470647,102436.809275594,-94671.1856285289,0.75,0.0133333333333333
1000,750,20,7358.09732608032,577031.40625,-569673.30892392,3772.40407307376,103187.524749565,-99415.1206764912,0.75,0.0266666666666667
1000,750,50,2569.87395912148,567779.1175,-565209.243540878,1406.55260864823,103232.656668631,-101826.104059983,0.75,0.0666666666666667
1000,750,60,2069.07706791763,564130.09375,-562061.016682082,1136.28503241358,102977.770199785,-101841.485167372,0.75,0.08
1000,750,75,1607.97608344833,564183.5,-562575.523916552,889.052359612842,103087.955778931,-102198.903419318,0.75,0.1
