"N","M","m","MSE_HG_N","MSE_NHG_N","Diff_MSE_N","MSE_HG_M","MSE_NHG_M","Diff_MSE_M","M.N","m.M"
1100,1090,205,18.0397782112574,1188240.44684593,-1188222.40706771,17.6925591913632,294327.818999635,-294310.126440444,0.990909090909091,5.31707317073171
1600,310,50,30832.1925882115,128440.90876,-97608.7161717885,1019.30827263711,2915.0111931925,-1895.7029205554,0.19375,6.2
1300,130,18,99192.4854363861,85124.7783950617,14067.7070413243,682.555780645433,594.590281669145,87.9654989762882,0.1,7.22222222222222
300,290,53,19.4701347610973,84171.3468850125,-84151.8767502514,18.0170768461637,20319.0055163526,-20300.9884395064,0.966666666666667,5.47169811320755
1100,560,71,4521.03220790883,315430.987185082,-310909.954977174,1118.33422919279,35260.4974200075,-34142.1631908147,0.509090909090909,7.88732394366197
1900,810,138,7946.67011756089,677449.449149338,-669502.779031778,1396.45399125714,59218.4723625147,-57822.0183712576,0.426315789473684,5.8695652173913
900,470,8,57783.1947098539,263739.6359375,-205956.441227646,8954.44649292475,25360.8555179196,-16406.4090249949,0.522222222222222,58.75
900,670,61,1725.34523271567,453370.538188659,-451645.192955943,935.035313523716,81801.9579178994,-80866.9226043757,0.744444444444444,10.983606557377
500,350,15,3025.71367616886,126115.088888889,-123089.37521272,1314.97084084774,20519.2513095316,-19204.2804686838,0.7,23.3333333333333
900,770,52,1179.16684339986,593599.883431953,-592420.716588553,837.084762695818,125815.962483212,-124978.877720516,0.855555555555556,14.8076923076923
200,140,9,912.388845087159,20567.550617284,-19655.1617721968,352.968944216464,3271.98798989809,-2919.01904568162,0.7,15.5555555555556
300,160,19,1278.62525260197,27379.2443213296,-26100.6190687277,324.195637721157,3082.43509972953,-2758.23946200837,0.533333333333333,8.42105263157895
1200,120,11,197693.219929058,117217.428099174,80475.7918298841,1032.47142432356,909.906705283328,122.564719040236,0.1,10.9090909090909
700,390,42,2698.64144978971,155671.982653061,-152973.341203271,792.639176501469,19345.8281963263,-18553.1890198248,0.557142857142857,9.28571428571429
600,310,39,2579.75721192213,99419.5681788297,-96839.8109669076,654.279153112871,11099.4450637382,-10445.1659106253,0.516666666666667,7.94871794871795
600,410,73,625.475728920213,168610.640514168,-167985.164785248,293.41581799906,27605.4897534792,-27312.0739354802,0.683333333333333,5.61643835616438
1000,950,185,89.4887049515075,902642.06807889,-902552.579373938,80.0291288221452,214182.971616182,-214102.94248736,0.95,5.13513513513514
600,210,35,4237.83945227646,48189.96,-43952.1205477235,478.486507149943,2970.84351608961,-2492.35700893966,0.35,6
