"m","true_N","true_M","mse_N_HG","mse_M_HG","mse_N_NHG","mse_M_NHG","mse_N_ratio","mse_M_ratio"
5,50,10,459.176502877156,7.08930347874612,208.1824,6.45284630083889,0.453382084439315,0.910222890046202
5,50,15,444.519587774668,16.0933867279333,364.1524,14.6384277368818,0.819204395070646,0.90959274044374
5,50,20,365.402033204524,24.7132705908678,553.84,32.9774054941908,1.51570037841033,1.33440069670005
5,50,25,237.623157323056,31.3255141172631,768.64,67.2283028648948,3.23470156974226,2.14611969697398
5,50,30,155.888003355529,34.864596988787,1020.1,122.411449232867,6.54380053655244,3.51105303962745
5,75,10,1330.42844187639,8.89962683538549,421.7248,9.71017884594594,0.316984203528612,1.09107707834868
5,75,15,1521.87200590807,21.3364324480199,653.261399999998,17.1601102571706,0.429248581657306,0.804263332165594
5,75,20,1471.09527303508,36.016563895371,860.788,28.0732274459087,0.585134094152905,0.779453240666216
5,75,25,1313.58994160495,50.7590538032162,1076.02,46.3035288628986,0.819144518330674,0.912222064706115
5,75,30,1012.06767625938,63.6307530725785,1333.2096,76.3131505829554,1.31731269684213,1.1993123905969
5,75,35,755.944158537645,75.619555774445,1632.4961,122.715723035331,2.15954588915406,1.62280407202289
5,75,40,599.142940291925,83.4107348592001,1980.2976,188.992944188694,3.30521728092986,2.26581080370194
5,75,45,436.866157270837,86.9694814513637,2352.3381,276.625010702727,5.38457388115248,3.18071358005538
5,75,50,299.120557141106,84.7000167906922,2741.7,387.080493443525,9.16586952834083,4.57001672620757
5,75,55,202.853123579188,79.0677175226656,3241.6938,529.925743721467,15.9804973312848,6.7021758098627
5,100,10,2824.17842549724,9.96853488701062,753.514800000001,12.3648299054161,0.26680849665769,1.24038587872406
5,100,15,3516.28510529595,25.8447354735713,1075.6213,23.5972250513616,0.305897066873214,0.913037979262431
5,100,20,3502.77039877269,43.7132623341865,1263.5968,32.7803918343059,0.360742114425411,0.749895800128137
5,100,25,3067.6537584486,63.80014694892,1571.3925,46.3864320421603,0.512245717324598,0.727058388741619
5,100,30,3014.85708202033,84.1015966182114,1869.2656,66.7325323836656,0.62001798066904,0.793475214110445
5,100,35,2563.81415844685,106.463216666213,2118.1183,95.4776487767826,0.826159061888928,0.8968134888891
5,100,40,2009.74705970889,123.401698840213,2475.3152,137.934913342763,1.23165509213808,1.11777159179444
5,100,45,1728.55903841778,135.411854960441,2843.5951,195.954393707827,1.64506680813336,1.44709924965633
5,100,50,1458.59550029111,152.41232562166,3271.53,272.9935949388,2.24293164166972,1.79115169213062
5,100,55,1027.92021283713,154.586271964769,3683.2797,369.993068108848,3.58323501571576,2.39344065554004
5,100,60,831.309875716207,161.033459715466,4249.4608,493.505442394849,5.11176508800514,3.06461429361845
5,250,10,21803.350739147,12.2134132725862,5267.33520000001,24.6308527764234,0.241583748434718,2.0167050951849
5,250,20,29332.2813275387,59.6476924002699,7814.21119999999,78.2148817315858,0.266403117873535,1.3112809328267
5,250,30,28640.8244318332,128.811964694508,8788.83879999998,128.122859150458,0.306864029732032,0.994650298629602
5,250,40,28303.1662960631,216.798718003192,9706.48639999999,182.152169717867,0.342947015131312,0.840190252947828
5,250,50,27004.4281224254,327.075859539434,10456.8,239.544707666413,0.387225382170425,0.73238272003236
5,250,60,25445.9729855241,432.389966192806,11569.5136,299.442705832037,0.454669727370291,0.692529265812134
5,250,70,22894.2099388694,546.941672714307,12409.9376,386.393206188113,0.542055726453816,0.706461448202621
5,250,80,19492.3139603121,639.93174862953,13733.6832,504.728953909349,0.704569156230649,0.788723102096857
5,250,90,18565.1713323451,757.620699758025,14607.94,655.780463376389,0.786846495434674,0.865578862332877
5,250,100,16506.0308964935,862.413138559969,16288,875.729941500637,0.986790834340446,1.01544132660468
5,250,110,13389.6630673961,931.030233510963,18224.8768,1172.58897032734,1.36111541479918,1.25945316072653
5,250,120,10660.1806048371,1028.02594790767,19665.664,1497.06787467492,1.84477775086443,1.45625494932485
5,250,130,8607.86530650537,1038.32271075274,22432.3932,1967.58325045724,2.60603441169633,1.89496312666687
5,250,140,6633.82581195248,1084.9299380044,24172.144,2466.41759455871,3.64377128450492,2.27334273685487
5,250,150,6946.38840392494,1121.14430171515,27014.62,3096.90656173845,3.88901662693319,2.762272935786
5,500,10,99076.4958946465,13.2405990216239,22182.6424,32.0117006552587,0.223894095160451,2.41769277983411
5,500,20,128984.220396598,66.6579339187521,31208.6576,112.69724246605,0.241957175102817,1.69068010123767
5,500,30,135720.196228454,151.332606524662,35455.9455999999,235.10009473693,0.261242958566889,1.55353231624023
5,500,40,143540.214237193,269.334334900899,39154.0095999999,345.160153302461,0.272773799370955,1.28153045704129
5,500,50,134384.019705654,389.615344563343,40000.44,471.927734381339,0.297657713228213,1.21126578038205
5,500,60,137125.605762436,569.038383244896,42056.6512,561.621470051643,0.306701662072226,0.986965882422626
5,500,70,126853.952425156,738.896809923868,42922.8444,670.435097898925,0.338364265199578,0.907346044663534
5,500,80,121605.902390585,945.980879544202,42748.0575999997,779.900051737837,0.351529463287874,0.824435322745226
5,500,90,114900.245044437,1117.80503894216,45220.714,858.20462909862,0.393564991811036,0.767758776531177
